ip,status,hostname,mac,vendor,latency_ms,ttl,os_hint,open_ports,scanned_at
10.80.80.113,alive,,00:0c:29:2b:78:03,,2.0,64,Linux / macOS,"22, 80",2026-04-09T17:33:32.015058
10.80.80.103,alive,,1c:69:7a:cc:11:12,,1.0,64,Linux / macOS,22,2026-04-09T17:33:31.980558
10.80.80.114,alive,Singh,e4:a7:a0:8d:e7:35,,1.0,128,Windows,"80, 135, 139, 445, 3389",2026-04-09T17:33:32.015162
10.80.80.118,alive,,00:0c:29:a9:3a:ee,,4.0,64,Linux / macOS,22,2026-04-09T17:33:32.021480
10.80.80.115,alive,,bc:24:11:ee:31:1a,,1.0,64,Linux / macOS,22,2026-04-09T17:33:32.017920
10.80.80.157,alive,,48:5e:0e:9e:10:78,,1.0,64,Linux / macOS,,2026-04-09T17:33:32.044235
10.80.80.112,alive,,b6:d8:9f:ca:ae:0a,,67.0,64,Linux / macOS,,2026-04-09T17:33:32.014653
10.80.80.129,alive,,bc:24:11:7a:51:04,,6.0,64,Linux / macOS,22,2026-04-09T17:33:32.032423
10.80.80.124,alive,,48:5e:0e:9f:0e:85,,1.0,64,Linux / macOS,53,2026-04-09T17:33:32.023798
10.80.80.131,alive,,e4:3a:6e:82:5e:1d,,1.0,64,Linux / macOS,,2026-04-09T17:33:32.032789
10.80.80.142,alive,,e4:43:4b:af:75:84,,1.0,64,Linux / macOS,3389,2026-04-09T17:33:32.036898
10.80.80.154,alive,,bc:24:11:2a:e4:e2,,3.0,64,Linux / macOS,,2026-04-09T17:33:32.043644
10.80.80.146,alive,,a4:97:b1:10:5f:7f,,6.0,64,Linux / macOS,"22, 80",2026-04-09T17:33:32.038288
10.80.80.127,alive,,5a:85:c5:75:90:d5,,238.0,64,Linux / macOS,,2026-04-09T17:33:32.024410
10.80.80.137,alive,,7e:ff:3c:1a:f1:85,,319.0,64,Linux / macOS,,2026-04-09T17:33:32.035581
10.80.80.134,alive,,9c:69:b4:67:4a:2b,,389.0,64,Linux / macOS,,2026-04-09T17:33:32.034591
10.80.80.111,alive,,3a:6e:d0:c9:15:74,,667.0,64,Linux / macOS,,2026-04-09T17:33:32.014075
10.80.80.242,alive,OSBOXES,08:00:27:a7:6f:de,,2.0,64,Linux / macOS,"22, 139, 445, 8080",2026-04-09T17:33:34.994012
10.80.80.226,alive,,00:0c:29:9f:0b:db,,4.0,64,Linux / macOS,22,2026-04-09T17:33:34.022846
10.80.80.252,alive,,00:0c:29:40:e7:7a,,2.0,64,Linux / macOS,22,2026-04-09T17:33:34.996129
10.80.80.251,alive,,74:34:91:00:3e:b3,,3.0,64,Linux / macOS,22,2026-04-09T17:33:34.995749
10.80.80.254,alive,,48:5e:0e:9e:0a:38,,2.0,64,Linux / macOS,,2026-04-09T17:33:34.998086
